SMILES,constant,position,c_index,x_index,global_number_of_atoms,global_charge,global_multiplicity,global_dipole,global_molar_mass,global_molar_volume,global_electronic_spatial_extent,global_E_scf,global_zero_point_correction,global_E_thermal_correction,global_H_thermal_correction,global_G_thermal_correction,global_E_zpe,global_E,global_H,global_G,global_stoichiometry,global_converged,global_homo_energy,global_lumo_energy,global_electronegativity,global_hardness,global_ES_root_dipole,global_ES_root_molar_volume,global_ES_root_electronic_spatial_extent,local_X,local_Y,local_Z,local_VBur,local_Mulliken_charge,local_APT_charge,local_NPA_charge,local_NPA_core,local_NPA_valence,local_NPA_Rydberg,local_NPA_total,local_NMR_shift,local_NMR_anisotropy,local_ES_root_Mulliken_charge,local_ES_root_NPA_charge,local_ES_root_NPA_core,local_ES_root_NPA_valence,local_ES_root_NPA_Rydberg,local_ES_root_NPA_total
CN(C)c1ccc(Br)cc1,-0.83,p,6,7,20.0,0.0,1.0,3.8981,200.0777,1425.512,3006.57,-2937.31877133,0.164292,0.174407,0.175351,0.127423,-2937.156573,-2937.146458,-2937.145513,-2937.193442,C8H10BrN,1.0,-0.19096,-0.00232,0.09663999999999999,0.09432,6.4458,1250.449,2994.7099,-1.082746,-0.0,-0.014844,0.6093455003146633,0.078935,0.211872,-0.14296,1.99855,4.12316,0.02124,6.14296,67.8639,85.3062,0.107257,-0.04933,1.99855,4.02923,0.02155,6.04933
CN(C)c1cccc(Br)c1,-0.16,m,7,8,20.0,0.0,1.0,3.2832,200.0777,1270.29,2666.4289,-2937.31876759,0.164194,0.17432,0.175264,0.127283,-2937.157274,-2937.147149,-2937.146205,-2937.194185,C8H10BrN,1.0,-0.19561,-0.00149,0.09855,0.09706000000000001,6.703,1164.433,2649.3634,0.904352,0.361243,-0.009788,0.6132001258653241,0.079482,0.522817,-0.08225,1.9986,4.06147,0.02218,6.08225,53.768,101.5758,0.037602,-0.17724,1.99861,4.15477,0.02385,6.17724
CNc1ccc(Br)cc1,-0.7,p,5,6,17.0,0.0,1.0,3.567,186.0509,1030.44,2423.4207,-2898.01347126,0.135907,0.144563,0.145507,0.101289,-2897.879124,-2897.870468,-2897.869524,-2897.913742,C7H8BrN,1.0,-0.19645,-0.00456,0.10050500000000001,0.095945,5.3724,1281.766,2430.5168,-0.749769,0.044679,-0.01306,0.6084015103838892,0.07625,0.214213,-0.14339,1.99857,4.12362,0.0212,6.14339,67.7853,85.2102,0.100684,-0.05243,1.99856,4.03233,0.02153,6.05243
CNc1cccc(Br)c1,-0.21,m,6,7,17.0,0.0,1.0,3.0402,186.0509,975.971,2114.9779,-2898.01364951,0.135829,0.144471,0.145416,0.101223,-2897.879872,-2897.871229,-2897.870285,-2897.914478,C7H8BrN,1.0,-0.20169,-0.00371,0.1027,0.09899000000000001,5.6308,1251.245,2109.5835,0.562154,0.353003,-0.006294,0.6120201384518565,0.077472,0.50959,-0.08242,1.99861,4.06169,0.02212,6.08242,53.1435,103.6491,0.03486,-0.17909,1.99863,4.15659,0.02387,6.17909
CCNc1ccc(Br)cc1,-0.61,p,6,7,20.0,0.0,1.0,3.6773,200.0777,1468.874,3385.5376,-2937.32976459,0.164408,0.174415,0.175359,0.127616,-2937.167074,-2937.157067,-2937.156123,-2937.203866,C8H10BrN,1.0,-0.19583,-0.00397,0.0999,0.09593,5.6624,1415.46,3400.4989,-1.229149,0.044854,-0.014778,0.6080081812460667,0.076438,0.217991,-0.14323,1.99857,4.12347,0.0212,6.14323,67.7489,84.9765,0.101017,-0.05231,1.99856,4.03223,0.02152,6.05231
CCNc1cccc(Br)c1,-0.24,m,7,8,20.0,0.0,1.0,3.121,200.0777,1592.53,2627.6993,-2937.32855565,0.164523,0.174406,0.17535,0.127834,-2937.1668,-2937.156917,-2937.155973,-2937.20349,C8H10BrN,1.0,-0.19991,-0.00385,0.10188,0.09803,5.7589,1488.102,2617.7387,0.902311,0.392393,-0.006965,0.6129641283826306,0.07681,0.519568,-0.08192,1.99861,4.06119,0.02213,6.08192,53.1192,103.2175,0.035185,-0.17605,1.99862,4.15358,0.02384,6.17605
Nc1ccc(Br)cc1,-0.66,p,4,5,14.0,0.0,1.0,3.4137,172.0241,990.372,1749.509,-2858.70559027,0.107463,0.114636,0.11558,0.07497,-2858.599451,-2858.592278,-2858.591334,-2858.631943,C6H6BrN,1.0,-0.20387,-0.007,0.105435,0.098435,4.0035,1061.113,1759.3207,0.003939,-0.32535,0.0,0.6104468219005664,0.076106,0.221286,-0.14202,1.99857,4.12223,0.02123,6.14202,67.3724,87.2145,0.094944,-0.05698,1.99857,4.0369,0.02151,6.05698
Nc1cccc(Br)c1,-0.16,m,5,6,14.0,0.0,1.0,2.918,172.0241,804.377,1635.1446,-2858.70587436,0.107406,0.114558,0.115502,0.074931,-2858.600074,-2858.592922,-2858.591978,-2858.632549,C6H6BrN,1.0,-0.21046,-0.00629,0.108375,0.10208500000000001,4.4141,689.466,1639.006,0.22514,0.207316,-0.002675,0.6135147891755821,0.078552,0.490708,-0.08701,1.99861,4.06647,0.02194,6.08701,53.7992,104.9593,0.042029,-0.16635,1.99863,4.14412,0.02359,6.16635
NCCCCc1ccc(Br)cc1,-0.51,p,8,9,26.0,0.0,1.0,2.1766,228.1313,1797.791,5949.9716,-3015.95025578,0.222299,0.234976,0.23592,0.180275,-3015.730894,-3015.718217,-3015.717273,-3015.772918,C10H14BrN,1.0,-0.22897,-0.01153,0.12025000000000001,0.10872,2.0442,2225.836,6059.4293,-2.213818,0.0,0.075665,0.6107614852108244,0.079951,0.367923,-0.1138,1.99859,4.09366,0.02155,6.1138,56.9487,102.7801,0.070825,-0.09363,1.99859,4.07359,0.02145,6.09363
NCCCCc1cccc(Br)c1,-0.34,m,9,10,26.0,0.0,1.0,2.1607,228.1313,1379.368,5265.8145,-3015.95060085,0.222341,0.234983,0.235928,0.18033,-3015.73109,-3015.718447,-3015.717503,-3015.773101,C10H14BrN,1.0,-0.23036,-0.01126,0.12081,0.10955000000000001,1.7441,1808.505,5362.4861,2.035047,0.233473,-0.020768,0.611941472624292,0.08469,0.412574,-0.09933,1.99859,4.07875,0.02199,6.09933,54.4369,104.1896,0.064879,-0.11122,1.99861,4.09035,0.02226,6.11122
