smiles,c_index,x_index,global_number_of_atoms,global_charge,global_multiplicity,global_dipole,global_molar_mass,global_molar_volume,global_electronic_spatial_extent,global_E_scf,global_zero_point_correction,global_E_thermal_correction,global_H_thermal_correction,global_G_thermal_correction,global_E_zpe,global_E,global_H,global_G,global_stoichiometry,global_converged,global_homo_energy,global_lumo_energy,global_electronegativity,global_hardness,global_ES_root_dipole,global_ES_root_molar_volume,global_ES_root_electronic_spatial_extent,local_X,local_Y,local_Z,local_VBur,local_Mulliken_charge,local_APT_charge,local_NPA_charge,local_NPA_core,local_NPA_valence,local_NPA_Rydberg,local_NPA_total,local_NMR_shift,local_NMR_anisotropy,local_ES_root_Mulliken_charge,local_ES_root_NPA_charge,local_ES_root_NPA_core,local_ES_root_NPA_valence,local_ES_root_NPA_Rydberg,local_ES_root_NPA_total,from_cas,from_hammett,from_informer,local_NMR_pred,Halide
Ic1ccccc1,1,0,12.0,0.0,1.0,1.6679,204.01,615.024,1115.9615,-243.020289695,0.090301,0.096192,0.097136,0.058535,-242.931289,-242.925398,-242.924454,-242.963055,C6H5I,1.0,-0.23913,-0.03337,0.13625,0.10288,4.5684,937.179,1138.9341,0.0,-0.581316,-0.0,0.6252359974826935,-0.308326,0.371511,-0.21456,1.99863,4.18895,0.02697,6.21456,59.4613,98.7501,-0.248305,-0.25947,1.99874,4.22962,0.03111,6.25947,True,True,False,107.27071702480316,I
Ic1ccc(OC)cc1,1,0,16.0,0.0,1.0,2.6921,234.0362,1093.317,2040.0494,-357.540622963,0.123155,0.131629,0.132573,0.087917,-357.419341,-357.410867,-357.409922,-357.454579,C7H7IO,1.0,-0.21877,-0.02901,0.12389,0.0948799999999999,8.7931,1221.942,2069.9315,-0.188703,0.074621,0.0,0.6252359974826935,-0.319647,0.25342,-0.24252,1.99861,4.21742,0.02649,6.24252,70.7973,83.6621,-0.235398,-0.24487,1.99876,4.21315,0.03297,6.24487,True,True,False,100.03496718406676,I
Brc1ccccc1,1,0,12.0,0.0,1.0,1.7385,157.0095,903.584,1225.4453,-2803.35335384,0.090821,0.096514,0.097458,0.059951,-2803.262874,-2803.257182,-2803.256238,-2803.293745,C6H5Br,1.0,-0.24196,-0.01262,0.12729,0.11467,0.0794,926.173,1233.5299,0.104183,0.0,0.0,0.6120201384518565,0.081783,0.374242,-0.10821,1.9986,4.08785,0.02176,6.10821,54.4081,107.0036,0.063748,-0.10703,1.99861,4.08679,0.02164,6.10703,True,True,False,115.0908544063568,Br
Ic1ccc(C)cc1,1,0,15.0,0.0,1.0,2.1001,218.0368,1220.972,1584.3176,-282.337300684,0.117796,0.125616,0.12656,0.082543,-282.221299,-282.213479,-282.212535,-282.256552,C7H7I,1.0,-0.2324,-0.03085,0.131625,0.100775,6.0933,1252.279,1618.5934,0.177789,-2e-06,-0.001122,0.6241346758967904,-0.313019,0.351194,-0.221,1.99862,4.19566,0.02672,6.221,62.8121,93.5116,-0.244045,-0.25055,1.99874,4.22017,0.03164,6.25055,True,True,False,103.86776494979858,I
Brc1ccc(OC)cc1,1,0,16.0,0.0,1.0,2.7364,187.0357,1176.89,2371.2266,-2917.87515456,0.12364,0.131913,0.132857,0.089287,-2917.752367,-2917.744094,-2917.74315,-2917.78672,C7H7BrO,1.0,-0.21853,-0.01185,0.11519,0.10334,2.619,1201.93,2379.1799,-0.730529,0.044103,0.0,0.6098174952800504,0.079293,0.262781,-0.13472,1.99858,4.11479,0.02135,6.13472,64.2446,93.2286,0.084508,-0.07174,1.99857,4.05177,0.0214,6.07174,True,True,False,102.76666498184204,Br
Brc1ccc(C)cc1,1,0,15.0,0.0,1.0,2.159,171.0363,1168.222,1795.2904,-2842.6710206,0.118321,0.125938,0.126882,0.083966,-2842.553508,-2842.545891,-2842.544947,-2842.587863,C7H7Br,1.0,-0.23386,-0.01058,0.12222,0.11164,0.691,1289.912,1812.4079,-0.339713,4e-06,-0.000306,0.6118628067967276,0.07899,0.354473,-0.11467,1.99858,4.09454,0.02155,6.11467,57.3563,102.3713,0.066996,-0.09714,1.99859,4.07704,0.02151,6.09714,True,True,False,110.13402783870696,Br
Ic1ccc(Cl)cc1,1,0,12.0,0.0,1.0,0.1489,238.4551,718.952,1944.4914,-702.611369841,0.080631,0.087744,0.088688,0.047327,-702.53237,-702.525257,-702.524313,-702.565674,C6H4ClI,1.0,-0.24269,-0.04194,0.142315,0.1003749999999999,3.9884,1111.108,1985.2135,0.0,0.0,0.17134,0.6242920075519195,-0.313039,0.340837,-0.22663,1.99863,4.20097,0.02703,6.22663,61.9408,102.6922,-0.245582,-0.26122,1.99874,4.23073,0.03175,6.26122,True,False,False,104.33280026912688,I
Brc1ccc(C(C)=O)cc1,1,0,17.0,0.0,1.0,2.2961,199.0467,1358.703,2879.948,-2955.99936161,0.128325,0.137569,0.138513,0.092337,-2955.872128,-2955.862885,-2955.861941,-2955.908117,C8H7BrO,1.0,-0.25275,-0.06455,0.1586499999999999,0.0940999999999999,3.8673,1207.736,2882.48,-1.015256,0.00483,0.0,0.6106041535556954,0.088703,0.457634,-0.09522,1.99861,4.07473,0.02189,6.09522,48.5495,116.365,0.064624,-0.14441,1.9986,4.12431,0.02149,6.14441,True,False,False,123.64364886283876,Br
Brc1ccc([N+]([O-])=O)cc1,1,0,14.0,0.0,1.0,3.3141,202.0071,1100.623,2739.5325,-3007.85258222,0.093434,0.101633,0.102577,0.058362,-3007.760099,-3007.751901,-3007.750956,-3007.795171,C6H4BrNO2,1.0,-0.27138,-0.09777,0.184575,0.086805,0.7848,1435.595,2717.2701,-0.966091,0.0,1e-06,0.6120201384518565,0.097449,0.47465,-0.09541,1.99862,4.07473,0.02205,6.09541,46.1395,124.6817,0.082914,-0.1277,1.99862,4.10746,0.02162,6.1277,True,True,False,126.14785647392272,Br
Ic1ccc([N+]([O-])=O)cc1,1,0,14.0,0.0,1.0,3.4611,249.0076,1388.867,2320.9271,-447.515856484,0.092948,0.10134,0.102284,0.057036,-447.424605,-447.416214,-447.41527,-447.460518,C6H4INO2,1.0,-0.26492,-0.09784,0.1813799999999999,0.08354,0.8324,1111.093,2321.3839,-0.416887,-1e-06,2.7e-05,0.6249213341724354,-0.310067,0.449536,-0.20862,1.99866,4.18262,0.02734,6.20862,50.0207,122.358,-0.323955,-0.2388,1.99865,4.21344,0.0267,6.2388,True,True,False,120.82458400726318,I
