smiles,c_index,x_index
I[C:5]1=[CH:6][CH:8]=[CH:10][CH:9]=[CH:7]1,1,0
I[C:8]1=[CH:6][CH:4]=[C:3]([O:1][CH3:2])[CH:5]=[CH:7]1,1,0
Br[C:1]1=[CH:2][CH:4]=[CH:6][CH:5]=[CH:3]1,1,0
I[C:11]1=[CH:9][CH:7]=[C:6]([CH3:5])[CH:8]=[CH:10]1,1,0
Br[C:8]1=[CH:6][CH:4]=[C:3]([O:1][CH3:2])[CH:5]=[CH:7]1,1,0
Br[C:1]1=[CH:2][CH:4]=[C:6]([CH3:7])[CH:5]=[CH:3]1,1,0
I[C:11]1=[CH:9][CH:7]=[C:6]([Cl:5])[CH:8]=[CH:10]1,1,0
Br[C:9]1=[CH:7][CH:5]=[C:4]([C:1]([CH3:2])=[O:3])[CH:6]=[CH:8]1,1,0
Br[C:9]1=[CH:7][CH:5]=[C:4]([N:1](=[O:2])=[O:3])[CH:6]=[CH:8]1,1,0
I[C:26]1=[CH:24][CH:22]=[C:21]([N:18](=[O:19])=[O:20])[CH:23]=[CH:25]1,1,0
Br[C:8]1=[CH:6][CH:4]=[C:3]([C:1]#[N:2])[CH:5]=[CH:7]1,1,0
I[C:7]1=[C:6]([CH3:5])[CH:8]=[CH:10][CH:11]=[CH:9]1,1,0
I[C:11]1=[CH:9][CH:7]=[C:6]([F:5])[CH:8]=[CH:10]1,1,0
Br[C:1]1=[C:2]([CH3:4])[CH:5]=[CH:7][CH:6]=[CH:3]1,1,0
I[C:11]1=[CH:9][CH:7]=[C:6]([Br:5])[CH:8]=[CH:10]1,1,0
I[C:9]1=[CH:7][CH:5]=[C:4]([C:1]([CH3:2])=[O:3])[CH:6]=[CH:8]1,1,0
I[C:11]1=[CH:13][CH:12]=[CH:10][C:8]([CH3:7])=[CH:9]1,1,0
Cl[C:1]1=[CH:2][CH:4]=[CH:6][CH:5]=[CH:3]1,1,0
Br[C:1]1=[CH:2][CH:4]=[C:6]([Cl:7])[CH:5]=[CH:3]1,1,0
Br[C:11]1=[CH:9][CH:7]=[C:6]([CH:4]=[O:5])[CH:8]=[CH:10]1,1,0
Br[C:1]1=[CH:3][N:5]=[CH:6][CH:4]=[CH:2]1,1,0
Br[C:1]1=[CH:2][CH:4]=[C:6]([F:7])[CH:5]=[CH:3]1,1,0
I[C:4]1=[C:3]([O:1][CH3:2])[CH:5]=[CH:7][CH:8]=[CH:6]1,1,0
Br[C:10]1=[CH:8][CH:6]=[C:5]([C:1]([F:2])([F:3])[F:4])[CH:7]=[CH:9]1,1,0
Br[C:8]1=[CH:10][CH:13]=[CH:14][C:11]2=[C:9]1[CH:12]=[CH:16][CH:17]=[CH:15]2,1,0
I[C:14]1=[CH:12][CH:10]=[C:9]([C:5]([F:6])([F:7])[F:8])[CH:11]=[CH:13]1,1,0
Br[C:9]1=[CH:11][CH:10]=[CH:8][C:6]([O:4][CH3:5])=[CH:7]1,1,0
